chunk,rea_id,rea_text,reg_id,reg_article,reg_text,deviation,confidence,needs_more_context,types,compliance_status,reasoning_short,evidence_rea,evidence_reg
chunk2_deontic_stages,REA-02#1,"Name, email address, content of the comment: this data is collected when you leave a comment and displayed on the Website. If you leave a comment on the Website, your name and email address will also be saved in cookies.",REG-066,Art13(2),The Controller SHALL provide the data subject with the following further information necessary to ensure fair and transparent processing at the time when personal data are obtained.,False,low,True,none,needs manual review,"The REA states data collection/display/cookie saving practices, while the REG requires provision of further information; these are not the same constraint, and no direct conflict is quoted.",this data is collected when you leave a comment and displayed on the Website | your name and email address will also be saved in cookies,The Controller SHALL provide the data subject with the following further information necessary to ensure fair and transparent processing at the time when personal data are obtained.
chunk2_deontic_stages,REA-02#1,"Name, email address, content of the comment: this data is collected when you leave a comment and displayed on the Website. If you leave a comment on the Website, your name and email address will also be saved in cookies.",REG-145,Art23(2(b)),"In particular, any legislative measure referred to in paragraph 1 shall contain provisions at least, where relevant, as to: (b) the categories of personal data;",False,low,True,none,needs manual review,"The REG addresses what a legislative measure must contain, not the same operative obligation expressed in the REA; the REA's listing of data categories does not directly conflict with the REG text.","Name, email address, content of the comment","any legislative measure referred to in paragraph 1 shall contain provisions at least, where relevant, as to: (b) the categories of personal data;"
chunk2_deontic_stages,REA-02#2,These are for your convenience so that you do not have to fill in your details again when you leave another comment.,REG-028,Art9(2(e)),Paragraph 1 shall not apply if one of the following applies: (e) processing relates to personal data which are manifestly made public by the data subject;,False,low,True,none,needs manual review,"The REA discusses not having to fill in details again for another comment, while the REG creates an exception for processing data made public by the data subject; there is no clear textual match or conflict.",These are for your convenience so that you do not have to fill in your details again when you leave another comment.,Paragraph 1 shall not apply if one of the following applies: (e) processing relates to personal data which are manifestly made public by the data subject;
chunk2_deontic_stages,REA-02#2,These are for your convenience so that you do not have to fill in your details again when you leave another comment.,REG-052,Art12(5),"Where requests from a data subject are manifestly unfounded or excessive, in particular because of their repetitive character, the controller may either:",False,low,True,none,needs manual review,"The REA is about convenience for repeat commenting, whereas the REG addresses how a controller may respond to manifestly unfounded or excessive requests; no same or conflicting constraint is stated.",These are for your convenience so that you do not have to fill in your details again when you leave another comment.,"Where requests from a data subject are manifestly unfounded or excessive, in particular because of their repetitive character, the controller may either:"
chunk2_deontic_stages,REA-02#2,These are for your convenience so that you do not have to fill in your details again when you leave another comment.,REG-074,Art13(4),"Paragraphs 1, 2 and 3 shall not apply where and insofar as the data subject already has the information.",False,low,True,none,needs manual review,"The REA describes convenience in not re-entering details for another comment, while the REG concerns when certain information duties do not apply; they do not clearly express the same or directly conflicting constraint.",These are for your convenience so that you do not have to fill in your details again when you leave another comment.,"Paragraphs 1, 2 and 3 shall not apply where and insofar as the data subject already has the information."
chunk2_deontic_stages,REA-02#3,These cookies will be saved on the User's computer until These cookies delete them.,REG-091,Art17(1),and the controller shall have the obligation to erase personal data without undue delay where one of the following grounds applies:,False,low,True,none,needs manual review,"The REA states cookie storage duration ('will be saved on the User's computer until These cookies delete them'), while the REG imposes a controller obligation to erase personal data 'without undue delay' when specified grounds apply. The texts do not clearly express the same constraint, so no quote-supported mismatch can be established.",,
chunk2_deontic_stages,REA-02#3,These cookies will be saved on the User's computer until These cookies delete them.,REG-093,Art17(1(a)),the controller shall have the obligation to erase personal data without undue delay where one of the following grounds applies: (a) the personal data are no longer necessary in relation to the purposes for which they were collected or otherwise processed;.,False,low,True,none,needs manual review,"The REA addresses how long cookies remain on a user's computer, whereas the REG requires erasure of personal data without undue delay when the data are no longer necessary. Because the REA does not clearly address that same legal trigger, omission alone is insufficient to show deviation.",,
chunk2_deontic_stages,REA-02#3,These cookies will be saved on the User's computer until These cookies delete them.,REG-099,Art17(1(d)),And the Controller SHALL have the obligation to erase personal data without undue delay where one of the following grounds applies: (d) the personal data have been unlawfully processed;,False,low,True,none,needs manual review,"The REA describes cookie persistence until deletion by the cookies, while the REG requires the controller to erase unlawfully processed personal data without undue delay. These are not clearly the same or directly conflicting constraints based on the quoted text alone.",,
chunk2_deontic_stages,REA-02#4,The User SHALL collect IP and browser user agent string: this data when leaving a comment.,REG-063,Art13(1(d)),"The Controller SHALL provide the data subject with all of the following information: (d) where the processing is based on point (f) of Article 6(1), the legitimate interests pursued by The Controller or by a third party,",False,low,True,none,needs manual review,"REA requires the user to collect comment-related data, while REG-063 requires the controller to provide information about legitimate interests; these do not clearly express the same or directly conflicting constraint.",,
chunk2_deontic_stages,REA-02#4,The User SHALL collect IP and browser user agent string: this data when leaving a comment.,REG-064,Art13(1(e)),"The Controller SHALL provide the data subject with all of the following information: (e) the recipients or categories of recipients of the personal data, if any,",False,low,True,none,needs manual review,"REA concerns collecting 'IP and browser user agent string' when leaving a comment, while REG-064 concerns informing the data subject about recipients of personal data; no quote-supported mismatch on the same constraint is shown.",,
chunk2_deontic_stages,REA-02#4,The User SHALL collect IP and browser user agent string: this data when leaving a comment.,REG-066,Art13(2),The Controller SHALL provide the data subject with the following further information necessary to ensure fair and transparent processing at the time when personal data are obtained.,False,low,True,none,needs manual review,"REA states 'The User SHALL collect IP and browser user agent string... when leaving a comment,' whereas REG-066 requires the controller to provide further information at the time personal data are obtained; the obligations differ in actor, action, and object, so no direct conflict is established.",,
chunk3_deontic_stages,REA-03#1,Retention period: the aforementioned data is retained indefinitely so we can recognize and approve any follow-up comments automatically instead of holding them in a moderation queue.,REG-062,Art13(1(c)),The Controller SHALL provide the data subject with all of the following information at the time when personal data are obtained: (c) the purposes of the processing for which the personal data are intended as well as the legal basis for the processing;,False,low,True,none,needs manual review,"The REA mentions a purpose for retaining data, while the REG requires providing information about processing purposes and legal basis; omission of legal basis or provision mechanics alone is not enough to establish a direct deviation.",,
chunk3_deontic_stages,REA-03#1,Retention period: the aforementioned data is retained indefinitely so we can recognize and approve any follow-up comments automatically instead of holding them in a moderation queue.,REG-067,Art13(2(a)),"The Controller SHALL provide the data subject with the following further information necessary to ensure fair and transparent processing, at the time when personal data are obtained: (a) the period for which the personal data will be stored, or if that is not possible, the criteria used to determine that period;",False,low,True,none,needs manual review,"The REA states a retention period ('retained indefinitely'), and the REG requires providing information about the storage period, but the REA does not clearly express a conflicting rule about whether or when that information must be provided to the data subject.",,
chunk3_deontic_stages,REA-03#1,Retention period: the aforementioned data is retained indefinitely so we can recognize and approve any follow-up comments automatically instead of holding them in a moderation queue.,REG-070,Art13(2(d)),"The Controller SHALL provide the data subject with the following further information necessary to ensure fair and transparent processing: (d) the right to lodge a complaint with a supervisory authority, at the time when personal data are obtained.",False,low,True,none,needs manual review,"The REA discusses retention and comment approval, while the REG requires providing information about the right to lodge a complaint; these are different constraints, so no direct quote-supported mismatch is established.",,
chunk4_deontic_stages,REA-04#1,"Based on our legitimate interests, we collect the following data for the purpose of running this website.",REG-007,Art6(1(f)),"Processing shall be lawful only if and to the extent that at least one of the following applies: (f) processing is necessary for the purposes of the legitimate interests pursued by the controller or by a third party, except where such interests are overridden by the interests or fundamental rights and freedoms of the data subject which require protection of personal data, in particular where the data subject is a child. Point (f) of the first subparagraph shall not apply to processing carried out by public authorities in the performance of their tasks.",False,low,True,none,needs manual review,"The REA references legitimate interests as a basis for collection, but it does not clearly contradict the REG's necessity and balancing conditions; omission alone is not a deviation.","Based on our legitimate interests, we collect the following data for the purpose of running this website.",processing is necessary for the purposes of the legitimate interests pursued by the controller or by a third party | except where such interests are overridden by the interests or fundamental rights and freedoms of the data subject
chunk4_deontic_stages,REA-04#1,"Based on our legitimate interests, we collect the following data for the purpose of running this website.",REG-059,Art13(1),The Controller SHALL provide the data subject with all of the following information at the time when personal data are obtained.,False,low,True,none,needs manual review,"The REA discusses collecting data, while the REG imposes a timing duty to provide information; they do not clearly express the same or directly conflicting constraint.",we collect the following data,The Controller SHALL provide the data subject with all of the following information at the time when personal data are obtained.
chunk4_deontic_stages,REA-04#1,"Based on our legitimate interests, we collect the following data for the purpose of running this website.",REG-063,Art13(1(d)),"The Controller SHALL provide the data subject with all of the following information: (d) where the processing is based on point (f) of Article 6(1), the legitimate interests pursued by The Controller or by a third party,",False,low,True,none,needs manual review,"The REA states that processing is based on legitimate interests, while the REG requires providing information about those legitimate interests; these are related but not clearly the same operative constraint, so no quote-supported mismatch is established.",Based on our legitimate interests,"where the processing is based on point (f) of Article 6(1), the legitimate interests pursued by The Controller or by a third party"
chunk4_deontic_stages,REA-04#2,Your data is not used by any other parties or shared with third parties.,REG-028,Art9(2(e)),Paragraph 1 shall not apply if one of the following applies: (e) processing relates to personal data which are manifestly made public by the data subject;,False,low,True,none,needs manual review,"The REA concerns sharing/use by other parties or third parties, while the REG is an exception clause about when a separate prohibition does not apply; the texts do not clearly impose the same or conflicting rule.",Your data is not used by any other parties or shared with third parties.,Paragraph 1 shall not apply if one of the following applies: (e) processing relates to personal data which are manifestly made public by the data subject;
chunk4_deontic_stages,REA-04#2,Your data is not used by any other parties or shared with third parties.,REG-059,Art13(1),The Controller SHALL provide the data subject with all of the following information at the time when personal data are obtained.,False,low,True,none,needs manual review,"The REA makes a claim about non-use/non-sharing by third parties, whereas the REG imposes an information-provision duty at collection; there is no quote-supported same or directly conflicting constraint.",Your data is not used by any other parties or shared with third parties.,The Controller SHALL provide the data subject with all of the following information at the time when personal data are obtained.
chunk4_deontic_stages,REA-04#2,Your data is not used by any other parties or shared with third parties.,REG-078,Art15(1(c)),"The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the following information: (c) the recipients or categories of recipient to whom the personal data have been",False,low,True,none,needs manual review,"The REA states a substantive non-sharing/use claim, while the REG grants a right to obtain information about processing and recipients; these do not clearly express the same or directly conflicting constraint.",Your data is not used by any other parties or shared with third parties.,the data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed | (c) the recipients or categories of recipient to whom the personal data have been
chunk4_deontic_stages,REA-04#3,The Data Controller removes the data upon your request.,REG-090,Art17(1),The data subject shall have the right to obtain from the controller the erasure of personal data concerning him or her without undue delay,False,low,True,none,needs manual review,"The REA says the controller 'removes the data upon your request,' while the REG says the data subject has 'the right to obtain from the controller the erasure of personal data concerning him or her without undue delay.' These are related, but the REA does not clearly contradict the REG; omission of 'without undue delay' and of the fuller object scope is not enough by itself to establish a quote-supported mismatch.",,
chunk4_deontic_stages,REA-04#3,The Data Controller removes the data upon your request.,REG-092,Art17(1(a)),The data subject shall have the right to obtain from the controller the erasure of personal data concerning him or her without undue delay,False,low,True,none,needs manual review,"The REA expresses deletion on request, and the REG expresses a right to obtain erasure without undue delay. The texts are aligned at a high level, and no direct conflict is clearly stated. Missing details in the REA alone do not establish deviation.",,
chunk4_deontic_stages,REA-04#3,The Data Controller removes the data upon your request.,REG-094,Art17(1(b)),The data subject shall have the right to obtain from the controller the erasure of personal data concerning him or her without undue delay,False,low,True,none,needs manual review,"The REA's 'removes the data upon your request' is broadly compatible with the REG's right to obtain erasure from the controller. There is no clear quote-supported contradiction on actor, timing, or condition; the REA is simply less detailed.",,
chunk5_deontic_stages,REA-05#1,"The website uses a minimal build of Google Analytics, a service which transmits website traffic data to Google servers in the United States and allows us to notice trends to improve the user experience on our website.",REG-002,Art6(1(a)),Processing shall be lawful only if and to the extent that at least one of the following applies: (a) the data subject has given consent to the processing of his or her personal data for one or more specific purposes;,False,low,True,none,needs manual review,"The REA states that the website uses Google Analytics and transmits traffic data to Google servers in the United States, but it does not clearly address whether processing is lawful only if consent or another legal basis applies; omission alone is not a deviation.",,
chunk5_deontic_stages,REA-05#1,"The website uses a minimal build of Google Analytics, a service which transmits website traffic data to Google servers in the United States and allows us to notice trends to improve the user experience on our website.",REG-044,Art12(2),The controller shall facilitate the exercise of data subject rights under Articles 15 to 22.,False,low,True,none,needs manual review,"The REA describes use of Google Analytics and transmission of website traffic data, while the REG requires the controller to facilitate exercise of data subject rights; these do not clearly express the same or directly conflicting constraint.",,
chunk5_deontic_stages,REA-05#1,"The website uses a minimal build of Google Analytics, a service which transmits website traffic data to Google servers in the United States and allows us to notice trends to improve the user experience on our website.",REG-102,Art17(1(f)),The data subject shall have the right to obtain from the controller the erasure of personal data concerning him or her without undue delay,False,low,True,none,needs manual review,"The REA concerns analytics usage and traffic data transmission, whereas the REG grants a right to erasure without undue delay; there is no quote-supported overlap or direct conflict.",,
chunk5_deontic_stages,REA-05#2,"This minimal build SHALL process personal data such as: the unique User ID set by Google Analytics, the date and time, the title of the page being viewed, the URL of the page being viewed, the URL of the page that was viewed prior to the current page, the screen resolution, the time in local timezone, the files that were clicked on and downloaded, the links clicked on to an outside domain, the type of device, and the country, region, and city.",REG-002,Art6(1(a)),Processing shall be lawful only if and to the extent that at least one of the following applies: (a) the data subject has given consent to the processing of his or her personal data for one or more specific purposes;,False,low,True,none,needs manual review,"The REA mandates processing certain data, while the REG states a lawfulness condition based on consent; the REA does not address lawfulness or deny consent, so omission alone is not a deviation.",This minimal build SHALL process personal data,Processing shall be lawful only if and to the extent that at least one of the following applies: (a) the data subject has given consent to the processing of his or her personal data for one or more specific purposes;
chunk5_deontic_stages,REA-05#2,"This minimal build SHALL process personal data such as: the unique User ID set by Google Analytics, the date and time, the title of the page being viewed, the URL of the page being viewed, the URL of the page that was viewed prior to the current page, the screen resolution, the time in local timezone, the files that were clicked on and downloaded, the links clicked on to an outside domain, the type of device, and the country, region, and city.",REG-022,Art9(1),"The Provider SHALL not process personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership, and the processing of genetic data, biometric data for the purpose of uniquely identifying a natural person, data concerning health or data concerning a natural person's sex life or sexual orientation.",False,low,True,none,needs manual review,"The REA lists analytics-related data, while the REG prohibits special-category data; there is no quote-supported statement that the REA processes the prohibited categories, so no direct conflict is established.","SHALL process personal data such as: the unique User ID set by Google Analytics, the date and time, the title of the page being viewed, the URL of the page being viewed, the URL of the page that was viewed prior to the current page, the screen resolution, the time in local timezone, the files that were clicked on and downloaded, the links clicked on to an outside domain, the type of device, and the country, region, and city.","The Provider SHALL not process personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership, and the processing of genetic data, biometric data for the purpose of uniquely identifying a natural person, data concerning health or data concerning a natural person's sex life or sexual orientation."
chunk5_deontic_stages,REA-05#2,"This minimal build SHALL process personal data such as: the unique User ID set by Google Analytics, the date and time, the title of the page being viewed, the URL of the page being viewed, the URL of the page that was viewed prior to the current page, the screen resolution, the time in local timezone, the files that were clicked on and downloaded, the links clicked on to an outside domain, the type of device, and the country, region, and city.",REG-067,Art13(2(a)),"The Controller SHALL provide the data subject with the following further information necessary to ensure fair and transparent processing, at the time when personal data are obtained: (a) the period for which the personal data will be stored, or if that is not possible, the criteria used to determine that period;",False,low,True,none,needs manual review,"The REA concerns processing categories of data, while the REG concerns informing the data subject about storage period when data are obtained; they do not express the same or directly conflicting constraint.","This minimal build SHALL process personal data such as: the unique User ID set by Google Analytics, the date and time, the title of the page being viewed, the URL of the page being viewed, the URL of the page that was viewed prior to the current page, the screen resolution, the time in local timezone, the files that were clicked on and downloaded, the links clicked on to an outside domain, the type of device, and the country, region, and city.","The Controller SHALL provide the data subject with the following further information necessary to ensure fair and transparent processing, at the time when personal data are obtained: (a) the period for which the personal data will be stored, or if that is not possible, the criteria used to determine that period;"
chunk5_deontic_stages,REA-05#3,You may opt out of this tracking at any time by activating the “Do Not Track” setting in your browser.,REG-118,Art21(1),"The data subject shall have the right to object, on grounds relating to his or her particular situation, at any time to processing of personal data concerning him or her which is based on point (e) or (f) of Article 6(1), including profiling based on those provisions.",False,low,True,none,needs manual review,"The texts do not clearly express the same constraint: the REG is limited to processing based on specific legal bases and grounds relating to the data subject's particular situation, while the REA speaks generally about 'this tracking'; the match is ambiguous.",You may opt out of this tracking at any time,"The data subject shall have the right to object, on grounds relating to his or her particular situation, at any time to processing of personal data concerning him or her which is based on point (e) or (f) of Article 6(1)"
chunk5_deontic_stages,REA-05#3,You may opt out of this tracking at any time by activating the “Do Not Track” setting in your browser.,REG-120,Art21(2),"Where personal data are processed for direct marketing purposes, the data subject shall have the right to object at any time to processing of personal data concerning him or her for such marketing, which includes profiling to the extent that it is related to such direct marketing.",True,medium,False,Execution style deviation,potential violation,"Both address an at-any-time objection/opt-out right, but the REA frames execution through a specific browser-based mechanism ('by activating the “Do Not Track” setting'), whereas the REG states a general right to object without prescribing that method.",You may opt out of this tracking at any time by activating the “Do Not Track” setting in your browser.,the data subject shall have the right to object at any time to processing of personal data concerning him or her for such marketing
chunk5_deontic_stages,REA-05#3,You may opt out of this tracking at any time by activating the “Do Not Track” setting in your browser.,REG-121,Art21(3),"Where the data subject objects to processing for direct marketing purposes, the personal data shall no longer be processed for such purposes.",False,low,True,none,needs manual review,"The REG imposes the consequence that data shall no longer be processed after objection, while the REA only states that the user may opt out; omission of the post-objection consequence is not enough to establish a deviation.",You may opt out of this tracking,"Where the data subject objects to processing for direct marketing purposes, the personal data shall no longer be processed for such purposes."
chunk6_deontic_stages,REA-06#1,"Articles on the Website may include embedded content (e.g. videos, charts, etc.).",REG-042,Art12(1),"The information shall be provided in writing, or by other means, including, where appropriate, by electronic means.",False,low,True,none,needs manual review,"REA permits embedded content in articles, while REG-042 mandates that information be provided in writing or by other means including electronic means; the texts address different actions and objects, so no quote-supported mismatch is shown.",,
chunk6_deontic_stages,REA-06#1,"Articles on the Website may include embedded content (e.g. videos, charts, etc.).",REG-056,Art12(7),"The Data Controller MAY provide information to data subjects pursuant to Articles 13 and 14 in combination with standardised icons in order to give a meaningful overview of the intended processing in an easily visible, intelligible and clearly legible manner.",False,low,True,none,needs manual review,"REA concerns embedded content in website articles, whereas REG-056 permits a data controller to provide information using standardised icons; the constraints are not clearly the same or directly conflicting.",,
chunk6_deontic_stages,REA-06#1,"Articles on the Website may include embedded content (e.g. videos, charts, etc.).",REG-057,Art12(7),Where the icons are presented electronically they shall be machine-readable.,False,low,True,none,needs manual review,"REA states that website articles may include embedded content, while REG-057 requires icons presented electronically to be machine-readable; these do not clearly express the same or directly conflicting constraint.",,
chunk6_deontic_stages,REA-06#2,Embedded content from other websites behaves in the exact same way as if the visitor had visited the other website.,REG-023,Art9(2),Paragraph 1 shall not apply if one of the following applies:,False,low,True,none,needs manual review,"The REA describes embedded content behavior, whereas the REG provides that Paragraph 1 shall not apply if specified conditions apply; there is no quote-supported overlap or conflict.",,
chunk6_deontic_stages,REA-06#2,Embedded content from other websites behaves in the exact same way as if the visitor had visited the other website.,REG-028,Art9(2(e)),Paragraph 1 shall not apply if one of the following applies: (e) processing relates to personal data which are manifestly made public by the data subject;,False,low,True,none,needs manual review,"The REA concerns embedded content behavior on other websites, while the REG states an exception where Article 9(1) does not apply to personal data manifestly made public by the data subject; no directly comparable constraint is stated.",,
chunk6_deontic_stages,REA-06#2,Embedded content from other websites behaves in the exact same way as if the visitor had visited the other website.,REG-057,Art12(7),Where the icons are presented electronically they shall be machine-readable.,False,low,True,none,needs manual review,"The REA describes how embedded content behaves, while the REG requires that electronically presented icons be machine-readable; they do not express the same or directly conflicting constraint.",,
chunk6_deontic_stages,REA-06#3,"These websites may collect data about you, use cookies, embed additional third-party tracking, and monitor your interaction with that embedded content, including tracing your interaction with the embedded content if you have an account and are logged in to that website.",REG-143,Art23(2),"In particular, any legislative measure referred to in paragraph 1 shall contain provisions at least, where relevant, as to:",False,low,True,none,needs manual review,"The REA describes website data collection and tracking, while the REG requires legislative measures to contain provisions; they do not express the same or directly conflicting constraint.",,
chunk6_deontic_stages,REA-06#3,"These websites may collect data about you, use cookies, embed additional third-party tracking, and monitor your interaction with that embedded content, including tracing your interaction with the embedded content if you have an account and are logged in to that website.",REG-145,Art23(2(b)),"In particular, any legislative measure referred to in paragraph 1 shall contain provisions at least, where relevant, as to: (b) the categories of personal data;",False,low,True,none,needs manual review,"The REA states that websites may collect data and use tracking, while the REG concerns legislative measures containing provisions about categories of personal data; no quote-supported direct mismatch is expressed.",,
chunk6_deontic_stages,REA-06#3,"These websites may collect data about you, use cookies, embed additional third-party tracking, and monitor your interaction with that embedded content, including tracing your interaction with the embedded content if you have an account and are logged in to that website.",REG-150,Art23(2(g)),"In particular, any legislative measure referred to in paragraph 1 shall contain provisions at least, where relevant, as to: (g) the risks to the rights and freedoms of data subjects; and",False,low,True,none,needs manual review,"The REA concerns possible website tracking activities, whereas the REG concerns legislative provisions about risks to rights and freedoms; they are not the same constraint and no direct conflict is stated.",,
chunk7_deontic_stages,REA-07#1,"If you have left comments on the Website, you can request to receive an exported file of the personal data we hold about you.",REG-086,Art15(3),The controller shall provide a copy of the personal data undergoing processing.,True,medium,False,Data deviation,potential violation,"The REA restricts the request to users who 'have left comments on the Website' and refers to data 'we hold about you', whereas the REG covers 'personal data undergoing processing'; this is a meaning-changing alteration of data scope.",If you have left comments on the Website | the personal data we hold about you,a copy of the personal data undergoing processing
chunk7_deontic_stages,REA-07#1,"If you have left comments on the Website, you can request to receive an exported file of the personal data we hold about you.",REG-111,Art20(1),"The data subject shall have the right to receive the personal data concerning him or her, which he or she has provided to a controller, in a structured, commonly used and machine-readable format and have the right to transmit those data to another controller without hindrance from the controller to which the personal data have been provided, where:",True,medium,False,Data deviation,potential violation,"The REA limits the right to cases where the user 'have left comments on the Website' and to data 'we hold about you', while the REG describes receiving data 'which he or she has provided to a controller'; this changes the data scope/trigger rather than merely omitting details.",If you have left comments on the Website | an exported file of the personal data we hold about you,"the personal data concerning him or her, which he or she has provided to a controller"
chunk7_deontic_stages,REA-07#1,"If you have left comments on the Website, you can request to receive an exported file of the personal data we hold about you.",REG-112,Art20(1(a)),"The data subject shall have the right to receive the personal data concerning him or her, which he or she has provided to a controller, in a structured, commonly used and machine-readable format and have the right to transmit those data to another controller without hindrance from the controller to which the personal data have been provided, where: (a) the processing is based on consent pursuant to point (a) of Article 6(1) or point (a) of Article 9(2) or on a contract pursuant to point (b) of Article 6(1); and",True,medium,False,Data deviation,potential violation,"The REA makes the entitlement depend on having 'left comments on the Website' and refers to data 'we hold about you', while the REG ties portability to data 'provided to a controller' under specified legal bases; this alters the applicable data scope/trigger.",If you have left comments on the Website | an exported file of the personal data we hold about you,"the personal data concerning him or her, which he or she has provided to a controller | (a) the processing is based on consent ... or on a contract"
chunk7_deontic_stages,REA-07#2,We will respond to all data access requests within a standard period of 90 days.,REG-046,Art12(3),The controller shall provide information on action taken on a request under Articles 15 to 22 to the data subject without undue delay and in any event within one month of receipt of the request.,True,high,False,Time deviation,potential violation,"The REA allows response within 90 days, while the REG requires action information within one month of receipt, so the REA sets a later timeframe.",within a standard period of 90 days,without undue delay and in any event within one month of receipt of the request
